chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,selfrates_MW0079WO_20231002191703IfZEj.txt.params
scaffold_1_RagTag,1.29327781920963e-08,2.09994907086672e-11,8.17792288863749e-07,7.27759459425625e-05,0.188313477482989,5.60855519444383e-05,0.000182273696102219,1.85740491926981e-06,0.378095809658537,-0.30045,0.10038314223608,selfrates_MW0079WO_20231002191703IfZEj.txt.params
scaffold_2_RagTag,4.18748796621771e-07,6.24850945623376e-13,0.00117369227287697,7.50956403708009e-05,0.214206929461069,7.30035574863496e-05,0.000237453172217739,2.87371277644549e-06,0.376961521545894,-0.30045,0.0774863600804916,selfrates_MW0079WO_20231002191703IfZEj.txt.params
scaffold_3_RagTag,1.27890396216832e-07,1.34257141761788e-11,1.4411258038543e-05,6.36006583270747e-05,0.180584939502586,5.65678414542318e-05,0.000177007220347925,7.87598012097588e-06,0.401023341254753,-0.30045,0.0939554446894355,selfrates_MW0079WO_20231002191703IfZEj.txt.params
scaffold_4_RagTag,4.08181403558132e-08,1.68614083574918e-11,2.04732666865943e-05,7.14070796799059e-05,0.17928980615986,6.25594116886994e-05,0.000179817790851326,4.60061124119126e-06,0.391289368361345,-0.30045,0.0957389526259434,selfrates_MW0079WO_20231002191703IfZEj.txt.params
scaffold_5_RagTag,2.81860409416672e-07,1.93523301177047e-11,2.21443970645447e-05,6.57484072538496e-05,0.204123082508088,6.49241568571005e-05,0.000195953676803919,1.05241119080503e-05,0.40853029262931,-0.30045,0.096932720923251,selfrates_MW0079WO_20231002191703IfZEj.txt.params
scaffold_6_RagTag,3.20624838746257e-07,2.73781419528194e-11,0.000472636778645694,7.00719739106741e-05,0.211491949424884,6.29589668998846e-05,0.000178616060460743,3.67132789073981e-06,0.388982839098361,-0.30045,0.0976808569395536,selfrates_MW0079WO_20231002191703IfZEj.txt.params
scaffold_7_RagTag,1.24174540886696e-06,7.28232906587839e-12,0.000309007218647249,7.34573174171684e-05,0.229985028237566,5.67392651649091e-05,0.000189574555527528,8.45390162553727e-07,0.37222218772,-0.30045,0.0874016841331745,selfrates_MW0079WO_20231002191703IfZEj.txt.params
scaffold_8_RagTag,1.22665227041119e-07,2.01311419979913e-11,1.0075662025089e-07,7.27760778188503e-05,0.185836689763759,7.14960052363954e-05,0.000224688422970926,3.46147791738706e-06,0.365656028089202,-0.30045,0.098550808902747,selfrates_MW0079WO_20231002191703IfZEj.txt.params
chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,selfrates_MW0079WS_20231002191703IfZEj.txt.params
scaffold_1_RagTag,4.83558063860771e-06,2.12250144404105e-10,0.00303410468259495,4.32060571212359e-05,0.842348439250625,0.000435397791777041,2.69036740645104e-05,5.32017295057253e-07,1.39687332578397,0.69325,0.706636813852815,selfrates_MW0079WS_20231002191703IfZEj.txt.params
scaffold_2_RagTag,6.00465878683937e-06,2.4195541124062e-10,0.00344436123570485,4.59278306478124e-05,0.825543883375454,0.00056026877188999,3.94238371464998e-05,1.67375947118866e-06,1.44826111062802,0.69325,0.712531813852815,selfrates_MW0079WS_20231002191703IfZEj.txt.params
scaffold_3_RagTag,6.61317545686481e-06,1.59151002014856e-10,0.00631923581044156,3.8346130564534e-05,0.753044725623096,0.000413894007045346,2.81049085706151e-05,6.79062778269402e-06,1.39213536410256,0.69325,0.707437813852815,selfrates_MW0079WS_20231002191703IfZEj.txt.params
scaffold_4_RagTag,5.41399319804889e-06,1.7510433627708e-10,0.00473066813231395,3.88606735136544e-05,0.771855266455548,0.000488725144941122,3.20495431643531e-05,2.45039674354452e-06,1.30687695060729,0.69325,0.707371813852815,selfrates_MW0079WS_20231002191703IfZEj.txt.params
scaffold_5_RagTag,5.93814607698184e-06,1.85695318532391e-10,0.0041810304715947,4.05348733465187e-05,0.741385573406064,0.00046581711502021,3.27573799867047e-05,6.46588571352227e-06,1.39435526457983,0.69325,0.710614147186148,selfrates_MW0079WS_20231002191703IfZEj.txt.params
scaffold_6_RagTag,5.29566548467533e-06,1.56233557370948e-10,0.00415191720220554,3.64341104975868e-05,0.800779867563865,0.00054955511513534,3.00468378316792e-05,4.49281269472657e-06,1.43135578208494,0.69325,0.704501813852815,selfrates_MW0079WS_20231002191703IfZEj.txt.params
scaffold_7_RagTag,3.96896874589647e-06,1.87144403848573e-10,0.00362911481717168,3.87064589784212e-05,0.843281219563452,0.00048578242172691,2.92823285368499e-05,1.4209570163669e-06,1.59142990288462,0.69325,0.706948480519481,selfrates_MW0079WS_20231002191703IfZEj.txt.params
scaffold_8_RagTag,6.27053417011686e-06,2.05895363598943e-10,0.00449564611408882,4.13411919163273e-05,0.799391324569795,0.000553080986436206,3.91714269731652e-05,5.69880803679382e-06,1.46915151674419,0.69325,0.710833813852815,selfrates_MW0079WS_20231002191703IfZEj.txt.params
chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,selfrates_MW015_20231002191703IfZEj.txt.params
scaffold_1_RagTag,4.39986588555266e-08,2.56815938372908e-11,9.05300905843696e-05,7.75147936777544e-05,0.308307521942721,7.25720955857801e-05,0.000119910040513768,1.81652747045773e-06,0.415725841699301,-0.2544,0.110069068448998,selfrates_MW015_20231002191703IfZEj.txt.params
