data,prediction
0,0.0694746666666668
0,0.0420460000000001
0,0.040874
0,0.0433003333333334
0,0.0678403333333334
0,0.0776296666666668
0,0.038019
0,0.0846310000000001
0,0.0552736666666668
0,0.104909666666667
0,0.192978666666666
0,0.0836066666666668
0,0.112109666666667
0,0.0854876666666668
0,0.0749326666666669
0,0.0814590000000001
0,0.0959263333333333
0,0.08767
0,0.0727150000000001
0,0.0579420000000002
1,0.980496333333334
1,0.990513333333335
1,0.991452666666669
1,0.980558000000001
1,0.986776666666668
1,0.965891666666669
1,0.991810666666668
1,0.990942000000003
1,0.994554000000002
1,0.984754333333335
1,0.975936666666668
1,0.995807000000002
1,0.991353666666669
1,0.986214666666668
1,0.972276333333336
1,0.996102000000002
1,0.990516333333336
1,0.994802333333335
1,0.980255666666667
1,0.987288000000001
0.25,0.47449
0.25,0.323610944862156
0.25,0.390381666666667
0.25,0.308524
0.25,0.0852187407407408
0.25,0.354799
0.25,0.0985203333333333
0.25,0.095214
0.25,0.220714333333333
0.25,0.207517833333333
0.25,0.313724
0.25,0.427266666666668
0.25,0.296123333333333
0.25,0.110870666666667
0.25,0.331115666666667
0.25,0.374334000000001
0.25,0.0495559855072465
0.25,0.276087
0.25,0.352950888888889
0.25,0.345071333333334
0.75,0.729038333333332
0.75,0.607753333333333
0.75,0.700209999999999
0.75,0.789843666666669
0.75,0.778783333333335
0.75,0.748860000000001
0.75,0.559948333333333
0.75,0.558726574025353
0.75,0.755108000000001
0.75,0.594259095238095
0.75,0.653989999999999
0.75,0.866399333333331
0.75,0.665359999999999
0.75,0.469338775142732
0.75,0.422862666666667
0.75,0.804886666666666
0.75,0.822657333333334
0.75,0.701116666666666
0.75,0.6910675
0.75,0.670138333333333
0,0.0217123333333333
0,0.017222
0,0.0379853333333334
0,0.0259443333333333
0,0.0342456666666667
0,0.0531280740740742
0,0.0153943333333333
0,0.0179443333333333
0,0.018217
0,0.0186263333333333
0,0.0527900000000001
0,0.013264
0,0.034344760206303
0,0.0185606666666666
0,0.0255883333333333
0,0.0283333333333333
0,0.0267193333333333
0,0.014111
0,0.0308223333333333
0,0.016827
1,0.993317333333335
1,0.993843333333334
1,0.990108000000001
1,0.986636666666669
1,0.994931666666668
1,0.993807333333334
1,0.995852666666668
1,0.996902666666668
1,0.992058000000002
1,0.995297000000002
1,0.996610666666668
1,0.994403000000001
1,0.992901000000001
1,0.995664333333334
1,0.997513666666668
1,0.994119666666668
1,0.984676666666667
1,0.995278000000001
1,0.996076666666668
1,0.996151666666668
0.25,0.0847876666666669
0.25,0.407956666666667
0.25,0.0723773333333335
0.25,0.33822
0.25,0.459643333333333
0.25,0.133516
0.25,0.0686196666666668
0.25,0.335517666666667
0.25,0.230070952380952
0.25,0.683703333333332
0.25,0.0496370000000001
0.25,0.724882666666667
0.25,0.376454
0.25,0.0976766666666668
0.25,0.473466666666667
0.25,0.249123702927214
0.25,0.326623333333334
0.25,0.523043333333333
0.25,0.195989666666667
0.25,0.447835666666667
0.75,0.52854
0.75,0.601053333333334
0.75,0.794793000000003
0.75,0.497686666666667
0.75,0.700221333333333
0.75,0.782262666666667
0.75,0.65576
0.75,0.728339333333333
0.75,0.70459333333333
0.75,0.632373333333334
0.75,0.660503724149075
0.75,0.870944999999998
0.75,0.874285333333328
0.75,0.686704666666666
0.75,0.764275000000001
0.75,0.789775000000002
0.75,0.638216666666667
0.75,0.775031666666669
0.75,0.619059999999999
0.75,0.698729999999999
0,0.0717243333333335
0,0.110373
0,0.094111
0,0.234405
0,0.0693753333333336
0,0.101414333333333
0,0.129837
0,0.0537246666666668
0,0.104127333333333
0,0.0448306666666667
0,0.108708333333333
0,0.0982253333333333
0,0.1303215
0,0.130210333333334
0,0.104778
0,0.149566
0,0.0947533333333334
0,0.128394333333333
0,0.130109
0,0.0706856666666668
1,0.99181266666667
1,0.991921000000002
1,0.998275666666668
1,0.997891000000001
1,0.992376000000003
1,0.992964666666669
1,0.993084333333335
1,0.993057666666669
1,0.985217666666669
1,0.981418666666669
1,0.991599666666668
1,0.993379000000002
1,0.992657333333335
1,0.99559566666667
1,0.991629333333336
1,0.988101666666669
1,0.994181666666668
1,0.996250666666669
1,0.989712000000002
1,0.989765333333334
0.25,0.449027428571429
0.25,0.230788666666667
0.25,0.27152
0.25,0.0833016666666668
0.25,0.0651243333333336
0.25,0.283270666666667
0.25,0.18708
0.25,0.376083333333334
0.25,0.0681880000000001
0.25,0.385254
0.25,0.374060000000001
0.25,0.211723
0.25,0.302667
0.25,0.0919436666666667
0.25,0.261754666666666
0.25,0.461630666666666
0.25,0.161035333333333
0.25,0.306517816091954
0.25,0.341754
0.25,0.432053333333334
0.75,0.75186
0.75,0.817673333333335
0.75,0.548303333333333
0.75,0.674049333333332
0.75,0.675715166666667
0.75,0.527613333333333
0.75,0.669593333333333
0.75,0.7278
0.75,0.556743329749103
0.75,0.88636033333333
0.75,0.595686666666666
0.75,0.67418
0.75,0.652827558253571
0.75,0.637127999999999
0.75,0.791113333333334
0.75,0.651496666666665
0.75,0.899196333333328
0.75,0.635685263157894
0.75,0.731885333333334
0.75,0.84818924242424
0,0.0155866666666667
0,0.0331136666666666
0,0.0145273333333333
0,0.0415296666666667
0,0.0279463333333333
0,0.030567
0,0.02449
0,0.0216966666666666
0,0.0208426666666667
0,0.0146703333333333
0,0.0443256666666667
0,0.024648
0,0.030007
0,0.095618
0,0.0193873333333333
0,0.0299663333333333
0,0.0231216666666667
0,0.0185583333333333
0,0.0173026666666666
0,0.0466683333333333
1,0.998296000000001
1,0.997602666666668
1,0.996251666666667
1,0.993359666666668
1,0.994903333333335
1,0.994199333333334
1,0.997589000000002
1,0.996339000000001
1,0.992239000000001
1,0.993159666666668
1,0.990813000000001
1,0.994892666666668
1,0.998807666666667
1,0.991450000000002
1,0.996282666666667
1,0.994842666666668
1,0.992120666666667
1,0.997185333333334
1,0.998802333333334
1,0.997261333333335
0.25,0.235082
