data,prediction
0,0.0410803333333333
0,0.0494616666666668
0,0.0294503333333333
0,0.0422953333333334
0,0.0894290000000001
0,0.0781693333333333
0,0.0409523333333334
0,0.0589750000000001
0,0.0560050000000001
0,0.128953333333333
0,0.277629
0,0.0591110000000002
0,0.0981870000000002
0,0.0975913333333332
0,0.0902226666666668
0,0.0709050000000002
0,0.101158
0,0.103032666666667
0,0.0926736666666667
0,0.0577193333333335
1,0.974263666666667
1,0.989093666666668
1,0.99028066666667
1,0.974029666666668
1,0.971081333333335
1,0.946343333333335
1,0.988190666666668
1,0.986811666666668
1,0.993672000000002
1,0.983320333333335
1,0.953081000000001
1,0.995190333333335
1,0.985997000000003
1,0.979510000000002
1,0.958550333333335
1,0.994239333333335
1,0.98112466666667
1,0.994303000000001
1,0.976712000000001
1,0.980540666666669
0.25,0.467773333333333
0.25,0.345929666666667
0.25,0.300208333333333
0.25,0.331827121212122
0.25,0.0803541666666667
0.25,0.315243
0.25,0.097664
0.25,0.0963676091954024
0.25,0.204707666666667
0.25,0.189171666666667
0.25,0.324553333333334
0.25,0.420233333333334
0.25,0.31601
0.25,0.105803
0.25,0.319407333333334
0.25,0.494849
0.25,0.0475406666666669
0.25,0.208560666666667
0.25,0.394247333333334
0.25,0.382089333333333
0.75,0.778116666666666
0.75,0.615725000000001
0.75,0.677816666666667
0.75,0.793031000000002
0.75,0.766683333333334
0.75,0.745167333333335
0.75,0.554394
0.75,0.541261000000001
0.75,0.826322666666666
0.75,0.586387999999999
0.75,0.590655
0.75,0.825606666666669
0.75,0.702899999999999
0.75,0.437502000000001
0.75,0.398866333333334
0.75,0.823616333333333
0.75,0.804577333333334
0.75,0.709900333333334
0.75,0.695732333333333
0.75,0.702546666666667
0,0.0163976666666666
0,0.012805
0,0.0395456666666667
0,0.020687
0,0.0296753333333333
0,0.0654193333333334
0,0.0129656666666667
0,0.0131683333333333
0,0.0224466666666667
0,0.019528
0,0.0589223333333334
0,0.011993
0,0.0302908321087324
0,0.0130046666666666
0,0.0170036666666666
0,0.0317333333333333
0,0.026923
0,0.016471
0,0.0460756666666667
0,0.0146156666666666
1,0.996629333333335
1,0.994759666666668
1,0.982272000000001
1,0.983397666666668
1,0.994180666666669
1,0.993757000000001
1,0.996932666666668
1,0.997977666666667
1,0.992598000000001
1,0.995926333333335
1,0.996221333333335
1,0.992733000000001
1,0.994653000000001
1,0.993306333333335
1,0.997667333333335
1,0.996285333333334
1,0.987084333333334
1,0.997559000000001
1,0.997450333333334
1,0.995643333333335
0.25,0.0792853333333335
0.25,0.408334
0.25,0.0951496666666668
0.25,0.352441666666667
0.25,0.509556666666666
0.25,0.145036666666667
0.25,0.0782153333333335
0.25,0.324614666666667
0.25,0.223609761904762
0.25,0.725923333333333
0.25,0.0578763333333335
0.25,0.803275999999999
0.25,0.389943333333334
0.25,0.0824356666666668
0.25,0.46292
0.25,0.30339687012987
0.25,0.346483333333334
0.25,0.518083333333333
0.25,0.199555
0.25,0.422722000000001
0.75,0.576796666666666
0.75,0.537810666666667
0.75,0.807120000000002
0.75,0.577696666666666
0.75,0.719798999999999
0.75,0.799573333333332
0.75,0.687370000000001
0.75,0.859293333333331
0.75,0.712499999999999
0.75,0.686512666666667
0.75,0.666323666666666
0.75,0.88830433333333
0.75,0.848864666666663
0.75,0.793803999999999
0.75,0.733576666666667
0.75,0.762636666666669
0.75,0.594785
0.75,0.781920000000002
0.75,0.602956666666667
0.75,0.59293
0,0.0863170000000001
0,0.143299333333333
0,0.0963733333333333
0,0.148432
0,0.0582443333333335
0,0.109095
0,0.135175333333334
0,0.0603000000000001
0,0.0953370000000001
0,0.0636586666666668
0,0.0966240000000001
0,0.0729400000000001
0,0.120947
0,0.0780316666666668
0,0.0918366666666667
0,0.105857666666667
0,0.0969216666666669
0,0.104516333333334
0,0.0428226666666667
0,0.0415016666666668
1,0.984092333333337
1,0.986881333333335
1,0.995702000000001
1,0.996396000000001
1,0.988255666666669
1,0.989529666666668
1,0.991635333333336
1,0.986970000000003
1,0.991838666666669
1,0.972972000000001
1,0.991398000000002
1,0.992733333333335
1,0.987891000000002
1,0.99484466666667
1,0.989398666666669
1,0.984365333333335
1,0.993139666666667
1,0.994691333333336
1,0.991167000000002
1,0.987428666666668
0.25,0.425461081974343
0.25,0.269748
0.25,0.244246666666667
0.25,0.0427156666666667
0.25,0.0787973333333334
0.25,0.254423333333333
0.25,0.194032333333333
0.25,0.38222
0.25,0.0709186666666668
0.25,0.338108333333334
0.25,0.356142666666667
0.25,0.223722666666666
0.25,0.293715666666667
