chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,selfrates_DE_20231002191703IfZEj.txt.params
1,0,0,0,3.2864822286267e-08,0.999819374936715,0.999819374936715,0,0,1.0935930090301,1,0.829252847643387,selfrates_DE_20231002191703IfZEj.txt.params
2,0,0,0,5.07658304739056e-08,0.998097956629634,0.998097956629634,0,0,0.858491878564103,1,0.825985987832077,selfrates_DE_20231002191703IfZEj.txt.params
3,0,0,0,4.26260548350095e-08,0.999978345964144,0.999978345964144,0,0,1.17266984230769,1,0.829114084295623,selfrates_DE_20231002191703IfZEj.txt.params
4,2.23961141760149e-12,0,2.23961141760149e-12,5.38066713385206e-08,0.999931058280681,0.999931934560757,0,0,0.868154599247312,1,0.829267154498743,selfrates_DE_20231002191703IfZEj.txt.params
5,0,0,0,3.70706724938798e-08,0.999990139201117,0.999990139201117,0,0,1.08283329282528,1,0.828603639851178,selfrates_DE_20231002191703IfZEj.txt.params
chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,selfrates_IT_20231002191703IfZEj.txt.params
1,6.1280750280051e-13,0,6.1280750280051e-13,3.2864822286267e-08,0.999819138907536,0.999819374936715,0,0,1.28506093033333,1,0.830653514310053,selfrates_IT_20231002191703IfZEj.txt.params
2,0,0,0,5.07658304739056e-08,0.998097956629634,0.998097956629634,0,0,1.63378418497409,1,0.82886632116541,selfrates_IT_20231002191703IfZEj.txt.params
3,2.25668984409946e-11,0,2.25668984409946e-11,4.26260548350095e-08,0.99997664092195,0.999978345964144,0,0,0.990498377186147,1,0.82782375096229,selfrates_IT_20231002191703IfZEj.txt.params
4,1.51600994483723e-13,0,1.51600994483723e-13,5.38066713385206e-08,0.999931817164383,0.999931934560757,0,0,1.12475801655914,1,0.83125382116541,selfrates_IT_20231002191703IfZEj.txt.params
5,1.29719765718912e-11,0,1.29719765718912e-11,3.70706724938798e-08,0.999988036282968,0.999990139201117,0,0,1.09632430440755,1,0.828653639851179,selfrates_IT_20231002191703IfZEj.txt.params
chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,selfrates_SW_20231002191703IfZEj.txt.params
1,0,0,0,3.2864822286267e-08,0.999819374936715,0.999819374936715,0,0,1.0935930090301,1,0.829252847643387,selfrates_SW_20231002191703IfZEj.txt.params
2,0,0,0,5.07658304739056e-08,0.998097956629634,0.998097956629634,0,0,0.858491878564103,1,0.825985987832077,selfrates_SW_20231002191703IfZEj.txt.params
3,0,0,0,4.26260548350095e-08,0.999978345964144,0.999978345964144,0,0,1.17266984230769,1,0.829114084295623,selfrates_SW_20231002191703IfZEj.txt.params
4,2.23961141760149e-12,0,2.23961141760149e-12,5.38066713385206e-08,0.999931058280681,0.999931934560757,0,0,0.868154599247312,1,0.829267154498743,selfrates_SW_20231002191703IfZEj.txt.params
5,0,0,0,3.70706724938798e-08,0.999990139201117,0.999990139201117,0,0,1.08283329282528,1,0.828603639851178,selfrates_SW_20231002191703IfZEj.txt.params
chr,lengthVar,countVar,propVar,roh_count_ind,proportionInROH,lengthMedian,gapMedian,gapVar,TajimaD,Fis,selfRate,selfrates_UK_20231002191703IfZEj.txt.params
1,4.58759774020813e-09,0,4.58759774020813e-09,3.2864822286267e-08,0.99977977282586,0.999810369975408,0,0,1.33844102364865,1,0.832430401843928,selfrates_UK_20231002191703IfZEj.txt.params
2,9.52695908847627e-07,0,9.52695908847627e-07,5.07658304739056e-08,0.997253225902006,0.997275042517652,0,0,1.16263618181818,1,0.830572319810397,selfrates_UK_20231002191703IfZEj.txt.params
3,2.90716888176857e-14,0,2.90716888176857e-14,4.26260548350095e-08,0.999978260712034,0.999978345964144,0,0,1.44066073799127,1,0.829539417628956,selfrates_UK_20231002191703IfZEj.txt.params
4,1.11695191032846e-11,0,1.11695191032846e-11,5.38066713385206e-08,0.999929405647204,0.999930401070624,0,0,1.1735592295082,1,0.831247154498743,selfrates_UK_20231002191703IfZEj.txt.params
5,0,0,0,3.70706724938798e-08,0.999990139201117,0.999990139201117,0,0,1.3717725093633,1,0.830074306517845,selfrates_UK_20231002191703IfZEj.txt.params
